,Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
13620,Barley,2014,Rabi       ,Bihar,12112,13434,1061,1828427.52,3996.96,1.101034483
12316,Maize,2011,Kharif     ,Nagaland,63500,124460,1544.354545,10637520,20955,1.954545455
9563,Soyabean,2005,Kharif     ,Nagaland,26660,32000,1568.6,3197067.2,5598.6,1.23
2795,Soyabean,2008,Kharif     ,West Bengal,537,322,1560.1,76812.48,48.33,0.5775
11982,Safflower,2010,Rabi       ,West Bengal,526,441,1096,87373.86,126.24,0.93875
6032,Gram,2019,Whole Year ,Kerala,600,454,3119.2,103056,222,0.767142857
16839,Maize,2019,Kharif     ,Himachal Pradesh,287444,744603,1217.7,49371381.44,106354.28,2.630833333
3159,Coriander,2010,Whole Year ,Andhra Pradesh,20313,13749,1297,3374192.43,4875.12,0.671428571
7120,Castor seed,2000,Kharif     ,Gujarat,458600,638800,379.7,45020762,119236,1.242352941
9594,Masoor,2005,Rabi       ,Tripura,402,299,1765.9,48207.84,84.42,0.72
4756,Groundnut,2016,Rabi       ,Andhra Pradesh,79576,211999,890,12195022,27851.6,2.804615385
7780,Small millets,2001,Kharif     ,Odisha,42360,20120,1672.5,4326226.8,11013.6,0.426875
8831,Other  Rabi pulses,2004,Rabi       ,Andhra Pradesh,17609,4724,781.8,1907759.06,3697.89,0.256470588
2894,Urad,2009,Kharif     ,Andhra Pradesh,82940,12732,711,12923710.8,14099.8,0.2605
11974,Peas & beans (Pulses),2010,Rabi       ,West Bengal,11622,13594,1096,1930530.42,2789.28,0.91375
14776,Sunflower,2016,Kharif     ,Arunachal Pradesh,540,433,2933.7,82755,189,0.818
6232,Sesamum,1997,Whole Year ,Gujarat,295600,177000,798.9,28132252,91636,0.635294118
4497,Small millets,2015,Kharif     ,Puducherry,8,13,1980.6,1263.28,2.64,1.63
11371,Moong(Green Gram),2009,Summer     ,West Bengal,13055,6443,1317.2,2034230.1,2219.35,0.560666667
15287,Moth,2016,Kharif     ,Uttarakhand,8,3,1580.9,1226,2.8,0.215
4157,Ragi,2014,Rabi       ,Andhra Pradesh,4698,7046,687.6,709210.08,1550.34,1.511
17226,Sweet potato,2019,Kharif     ,Uttar Pradesh,15852,186148,814.5,2722739.52,5865.24,11.75044118
292,Cardamom,1998,Whole Year ,West Bengal,2875,690,2152.5,284050,833.75,0.24
14441,Gram,2015,Rabi       ,Manipur,768,713,1329.1,121274.88,253.44,0.926666667
1402,Castor seed,2003,Kharif     ,Meghalaya,25,14,3321.3,2474.5,6,0.545
18379,Peas & beans (Pulses),2019,Kharif     ,Jammu and Kashmir,281,1383,1324.1,48264.56,103.97,4.504
13517,Urad,2013,Kharif     ,Uttar Pradesh,496901,221673,995.2,71797225.49,134163.27,0.506891892
16771,Maize,2019,Kharif     ,Gujarat,300503,449952,1067.8,51614395.28,111186.11,1.603636364
16446,Gram,2018,Rabi       ,Telangana,104391,163835,1350.3,16932220.2,36536.85,1.575
10550,Rapeseed &Mustard,2008,Rabi       ,Bihar,85265,81831,1197.7,12196305.6,7673.85,0.99
8483,Rapeseed &Mustard,2003,Rabi       ,Gujarat,269300,395500,902.5,26655314,64632,1.439
2509,Sunflower,2008,Kharif     ,Puducherry,3,2,1434.5875,429.12,0.27,0.67
16526,Guar seed,2018,Kharif     ,Uttar Pradesh,2024,1451,792.8,328292.8,708.4,0.7145
15527,Bajra,2017,Kharif     ,Haryana,449400,720300,417.1,70753536,170772,1.69047619
16869,Masoor,2019,Rabi       ,Jharkhand,62319,52920,1137.8,10703911.44,23058.03,0.8275
1294,Rice,2003,Summer     ,Assam,319480,573189,2213.7,31622130.4,76675.2,1.493913043
7643,Cotton(lint),2001,Kharif     ,Madhya Pradesh,534571,383607,955,54595736.23,138988.46,0.706315789
4282,Sesamum,2014,Kharif     ,Karnataka,44290,22617,1238.5,6686018.4,14615.7,0.467307692
15280,Horse-gram,2016,Kharif     ,Uttarakhand,11762,9536,1580.9,1802526.5,4116.7,0.831818182
10390,Small millets,2007,Kharif     ,Nagaland,14900,14340,1769,1987660,2384,0.987142857
7640,Barley,2001,Rabi       ,Madhya Pradesh,83716,107764,955,8549915.08,21766.16,1.374146341
14286,Ragi,2015,Kharif     ,Gujarat,19235,15013,584.3,3037398.85,6347.55,0.766666667
4331,Cashewnut,2014,Whole Year ,Meghalaya,9449,18122,3484.4,1426421.04,3118.17,1.69
1435,Other  Rabi pulses,2003,Rabi       ,Puducherry,141,138,1434.5875,13956.18,33.84,0.99
18487,Onion,2001,Whole Year ,Manipur,640,1360,2013.1,65363.2,166.4,2.16
13671,Linseed,2014,Rabi       ,Chhattisgarh,27398,11178,1274.7,4136002.08,9041.34,0.40125
12659,Sweet potato,2012,Whole Year ,Haryana,179,2300,307.9,26993.2,55.49,16.78333333
14735,Other Kharif pulses,2015,Kharif     ,West Bengal,951,636,1717,150172.41,313.83,0.545714286
3606,Bajra,2012,Kharif     ,Andhra Pradesh,60000,100000,968.7,9048000,18600,1.483636364
2895,Urad,2009,Rabi       ,Andhra Pradesh,346178,255694,711,53941455.96,58850.26,0.640952381
14627,Gram,2015,Rabi       ,Uttar Pradesh,267629,163409,596.7,42261295.39,88317.57,0.708461538
1433,Moong(Green Gram),2003,Rabi       ,Puducherry,1299,388,1434.5875,128575.02,311.76,0.483333333
19329,Groundnut,2008,Autumn     ,Odisha,32265,31406,1539,4615185.6,2903.85,0.79
12504,Sugarcane,2011,Whole Year ,West Bengal,16077,1681444,1686.5,2693219.04,5305.41,107.9205882
8668,Rice,2003,Kharif     ,Nagaland,155000,220990,1709.8,15341900,37200,1.36
7543,Turmeric,2001,Whole Year ,Chhattisgarh,649,591,1550,66282.37,168.74,1.075333333
16461,Ragi,2018,Kharif     ,Telangana,1034,1011,1350.3,167714.8,361.9,0.974285714
19112,Oilseeds total,2007,Whole Year ,Arunachal Pradesh,30749,28568,3223.9,4101916.6,4919.84,0.9325
18214,Wheat,2016,Rabi       ,Delhi,19622,87182,747.1,3007071.5,6867.7,4.44
16556,Arhar/Tur,2018,Kharif     ,Uttarakhand,3199,2571,1373,518877.8,1119.65,0.745833333
9002,Ragi,2004,Kharif     ,Gujarat,24300,25800,719.8,2632662,5103,1.0275
10745,Cotton(lint),2008,Kharif     ,Maharashtra,3146000,4752300,1052.8,450003840,283140,1.516296296
7613,Gram,2001,Rabi       ,Himachal Pradesh,1144,1004,918.1,116836.72,297.44,0.763
6305,Castor seed,1997,Kharif     ,Uttar Pradesh,23,15,473.9,2188.91,7.13,0.814285714
11169,Ginger,2009,Kharif     ,Manipur,2098,24895,992.5,326910.36,356.66,11.87
3449,Bajra,2011,Summer     ,Karnataka,3193,3328,1178.986364,534891.36,1053.69,1.013333333
17436,Bajra,2000,Kharif     ,Delhi,3119,4634,544.3,306192.23,810.94,1.49
19331,Groundnut,2008,Winter     ,Odisha,2065,2289,1539,295377.6,185.85,1.129545455
19178,Wheat,2013,Rabi       ,Arunachal Pradesh,2960,4470,2042.9,427690.4,799.2,1.73
16685,Moong(Green Gram),2019,Kharif     ,Bihar,7383,4637,1194.7,1268104.08,2731.71,0.707307692
17314,Wheat,2019,Rabi       ,West Bengal,188308,509970,1733.4,32343782.08,69673.96,2.647619048
10626,Moong(Green Gram),2008,Kharif     ,Gujarat,162000,70100,746.1,23172480,14580,0.454
1463,Potato,2003,Whole Year ,Tamil Nadu,4341,70103,345.6,429672.18,1041.84,17.054
10295,Khesari,2007,Rabi       ,Madhya Pradesh,51415,30078,740.4,6858761,8226.4,0.497857143
14745,Sannhamp,2015,Kharif     ,West Bengal,810,3443,1717,127907.1,267.3,4.345
17974,Garlic,2012,Kharif     ,Jammu and Kashmir,2,2,1116.7,301.6,0.62,0.75
2497,Other Kharif pulses,2008,Kharif     ,Puducherry,1,1,1434.5875,143.04,0.09,1
2239,Banana,2007,Kharif     ,Puducherry,318,10457,1434.5875,42421.2,50.88,22.45
16575,Potato,2018,Kharif     ,Uttarakhand,6970,69123,1373,1130534,2439.5,10.553
7541,Sweet potato,2001,Whole Year ,Chhattisgarh,2402,14001,1550,245316.26,624.52,5.834375
9193,Other Kharif pulses,2004,Kharif     ,Uttarakhand,14316,9918,1219.6,1550995.44,3006.36,0.620769231
7413,Potato,2000,Whole Year ,Uttar Pradesh,394083,8398200,874.4,38687128.11,102461.58,19.7573913
16756,Wheat,2019,Rabi       ,Chhattisgarh,116274,135888,1420.3,19971222.24,43021.38,1.336538462
12340,Barley,2011,Rabi       ,Punjab,12000,47000,705.2,2010240,3960,3.875
12335,Urad,2011,Kharif     ,Nagaland,220,210,1544.354545,36854.4,72.6,0.9875
3538,Cotton(lint),2011,Kharif     ,Meghalaya,6871,6389,4083.104545,1151029.92,2267.43,0.903333333
13356,Gram,2013,Rabi       ,Nagaland,740,620,1350.9,106922.6,199.8,0.816363636
17232,Wheat,2019,Rabi       ,Uttar Pradesh,9852504,36209665,814.5,1692266087,3645426.48,3.688533333
15598,Other  Rabi pulses,2017,Rabi       ,Jharkhand,20641,14387,1165.7,3249719.04,7843.58,0.699583333
16946,Rice,2019,Summer     ,Maharashtra,74896,195623,1555.8,12864136.96,27711.52,2.660833333
8994,Moong(Green Gram),2004,Kharif     ,Gujarat,173100,71700,719.8,18753654,36351,0.44875
2526,Coriander,2008,Whole Year ,Andhra Pradesh,33439,15616,944.6,4783114.56,3009.51,0.585625
2188,Tapioca,2006,Whole Year ,Tamil Nadu,139628,5635436,927.9,17831891.88,30718.16,41.62785714
14023,Moong(Green Gram),2014,Kharif     ,Tripura,569,312,2015.7,85896.24,187.77,0.54
7981,Guar seed,2002,Whole Year ,Gujarat,179600,55700,458.4,17002732,44900,0.371
12137,Peas & beans (Pulses),2011,Rabi       ,Haryana,1153,1000,471.5409091,193150.56,380.49,0.326
13827,Castor seed,2014,Kharif     ,Maharashtra,17300,4000,1001.6,2611608,5709,0.188571429
14507,Sesamum,2015,Kharif     ,Nagaland,3580,2160,1308.3,565317.8,1181.4,0.604545455
14567,Other  Rabi pulses,2015,Rabi       ,Telangana,54,21,747.9,8527.14,17.82,0.305
19193,Potato,2015,Whole Year ,Arunachal Pradesh,5970,44775,2593.2,942722.7,1970.1,6.9065
5730,Maize,2018,Kharif     ,Tamil Nadu,168944,1283603,986.2,27402716.8,59130.4,7.625384615
19357,Groundnut,2008,Kharif     ,Goa,642,896,3271.6,91831.68,57.78,0.7
18858,Rice,2004,Kharif     ,Goa,52442,145174,2518,5681566.28,11012.82,2.75
854,Arecanut,2001,Whole Year ,Karnataka,136065,182800,1002.9,13896318.45,35376.9,1.292
469,Ragi,1999,Kharif     ,West Bengal,12489,15051,2318.1,1325457.57,3372.03,0.898
15518,Small millets,2017,Rabi       ,Gujarat,10080,17290,814.8,1586995.2,3830.4,1.39
8535,Bajra,2003,Kharif     ,Madhya Pradesh,201165,281430,1163,19911311.7,48279.6,1.078055556
10922,Potato,2008,Kharif     ,Uttarakhand,7723,72666,1363.7,1104697.92,695.07,10.52181818
9596,Moong(Green Gram),2005,Kharif     ,Tripura,963,518,1765.9,115482.96,202.23,0.54
18670,Urad,2002,Kharif     ,Sikkim,3780,2790,2496.2,357852.6,945,0.6425
12224,Turmeric,2011,Whole Year ,Madhya Pradesh,995,720,852.6,166682.4,328.35,0.7928125
11759,Moong(Green Gram),2010,Kharif     ,Nagaland,200,190,1771.8,33222,48,0.98625
8226,Urad,2002,Kharif     ,Mizoram,6,4,2627,568.02,1.5,0.67
7381,Other Cereals,2000,Kharif     ,Tamil Nadu,87384,75741,971.1,8578487.28,22719.84,0.826315789
9495,Maize,2005,Kharif     ,Maharashtra,389100,829700,1387.2,46660872,81711,1.67037037
7372,Ginger,2000,Kharif     ,Tamil Nadu,95,2515,971.1,9326.15,24.7,26.405
13632,Masoor,2014,Rabi       ,Bihar,152912,140063,1061,23083595.52,50460.96,0.826315789
738,Potato,2000,Whole Year ,West Bengal,299664,7673130,1907.7,29418014.88,77912.64,22.39388889
9476,Sesamum,2005,Kharif     ,Madhya Pradesh,184090,72531,1032.7,22076072.8,38658.9,0.399791667
4583,Rice,2015,Rabi       ,Goa,13614,36579,2587.1,2149786.74,4492.62,2.76
15305,Sunflower,2016,Kharif     ,Uttarakhand,7,4,1580.9,1072.75,2.45,0.57
13021,Rapeseed &Mustard,2012,Rabi       ,West Bengal,446918,474832,1566,67395234.4,138544.58,0.965
2875,Other  Rabi pulses,2009,Rabi       ,Andhra Pradesh,2666,2314,711,415416.12,453.22,0.59
1266,Sunflower,2003,Kharif     ,Andhra Pradesh,490757,333265,826,48575127.86,117781.68,1.057142857
452,Groundnut,1999,Summer     ,West Bengal,23233,33214,2318.1,2465718.29,6272.91,1.315
2166,Coconut ,2006,Whole Year ,Tamil Nadu,374604,5429900000,927.9,47840676.84,82412.88,13584.69138
13594,Other  Rabi pulses,2013,Rabi       ,West Bengal,311,144,1939.9,44936.39,83.97,0.4775
18018,Dry chillies,2012,Kharif     ,Puducherry,1,2,1098.3,150.8,0.31,2
14832,Garlic,2016,Whole Year ,Chhattisgarh,1282,3212,1298.9,196466.5,448.7,2.903888889
2279,Cotton(lint),2007,Kharif     ,Assam,1359,635,2154.1,181290.6,217.44,0.445217391
10183,Sunflower,2007,Kharif     ,Chhattisgarh,6227,2192,1246.2,830681.8,996.32,0.400714286
11919,Onion,2010,Kharif     ,Jammu and Kashmir,187,166,1352,31062.57,44.88,0.984285714
14187,Jute,2015,Kharif     ,Bihar,93909,1308635,874,14829170.19,30989.97,15.8025
12435,Rapeseed &Mustard,2011,Rabi       ,Uttarakhand,12391,9733,1564.7,2075740.32,4089.03,0.653076923
17444,Sugarcane,2000,Whole Year ,Delhi,5,200,544.3,490.85,1.3,40
10609,Urad,2008,Rabi       ,Chhattisgarh,4679,1146,1117.9,669284.16,421.11,0.236153846
16035,Coriander,2018,Whole Year ,Bihar,2539,2298,1521.4,411825.8,888.65,0.912
3368,Masoor,2011,Rabi       ,Assam,22544,11798,1743.4,3776570.88,7439.52,0.526
3034,Rice,2009,Autumn     ,Meghalaya,32560,41798,2995.9,5073499.2,5535.2,1.542857143
16067,Sugarcane,2018,Whole Year ,Bihar,225567,20116277,1521.4,36586967.4,78948.45,65.4878125
1158,Rice,2002,Kharif     ,Tamil Nadu,1516537,3577108,315.9,143570557.8,379134.25,2.884642857
15583,Urad,2017,Kharif     ,Himachal Pradesh,6922,4616,1182.2,1089799.68,2630.36,0.729090909
7465,Banana,2001,Whole Year ,Bihar,16263,355042,1247,1660940.19,4228.38,21.29136364
12202,Masoor,2011,Rabi       ,Madhya Pradesh,586000,215179,852.6,98166720,193380,0.395625
1919,Khesari,2005,Rabi       ,West Bengal,33253,30375,1650.1,3987699.76,6983.13,0.780588235
9910,Ginger,2006,Kharif     ,Nagaland,2600,23040,1362.5,332046,572,8.82875
13296,Safflower,2013,Rabi       ,Maharashtra,126300,82700,1409.8,18249087,34101,0.736111111
3563,Arecanut,2011,Whole Year ,Tamil Nadu,6509,15948,926.5,1090387.68,2147.97,2.054583333
13904,Cotton(lint),2014,Kharif     ,Nagaland,120,70,1333.3,18115.2,39.6,0.585
2159,Arhar/Tur,2006,Whole Year ,Tamil Nadu,29127,21334,927.9,3719809.17,6407.94,0.744
5306,Potato,2017,Rabi       ,Karnataka,5557,103976,1111.7,874894.08,2111.66,18.17769231
5547,Rapeseed &Mustard,2018,Rabi       ,Assam,285736,183665,2372.9,46346379.2,100007.6,0.64
17481,Cotton(lint),2001,Kharif     ,Jammu and Kashmir,69,34,953.8,7046.97,17.94,0.49
15829,Onion,2017,Kharif     ,Telangana,4319,79105,815.7,679983.36,1641.22,18.15833333
7298,Soyabean,2000,Kharif     ,Nagaland,13000,16500,1631.8,1276210,3380,1.28125
11729,Maize,2010,Rabi       ,Mizoram,284,445,2738.7,47175.24,68.16,2.362
7199,Bajra,2000,Kharif     ,Madhya Pradesh,164003,204348,723.3,16100174.51,42640.78,0.904411765
962,Ragi,2001,Kharif     ,Puducherry,138,325,1434.5875,14093.94,35.88,2.36
8350,Gram,2002,Rabi       ,Jharkhand,9748.47,8312,1041.2,922887.6549,2437.1175,0.871111111
10169,Other  Rabi pulses,2007,Rabi       ,Chhattisgarh,2733,350,1246.2,364582.2,437.28,0.191764706
4295,Wheat,2014,Rabi       ,Karnataka,197615,260093,1238.5,29831960.4,65212.95,1.289285714
4179,Urad,2014,Rabi       ,Andhra Pradesh,296414,277700,687.6,44746657.44,97816.62,0.948461538
8936,Gram,2004,Rabi       ,Chhattisgarh,233322,119694,1122.8,25278105.48,48997.62,0.533125
381,Garlic,1999,Whole Year ,Kerala,849,14433,2914.6,90104.37,229.23,17
1087,Rapeseed &Mustard,2002,Rabi       ,Assam,261309,129784,1973.6,24738123.03,65327.25,0.472173913
11018,Moong(Green Gram),2009,Kharif     ,Chhattisgarh,9429,2343,956.9,1469226.78,1602.93,0.241111111
19239,Sesamum,1998,Winter     ,Odisha,37995,6669,1357.1,3753906,11018.55,0.1668
8413,Dry chillies,2003,Whole Year ,Chhattisgarh,6486,4248,1643.7,641984.28,1556.64,0.645
5313,Rice,2017,Rabi       ,Karnataka,30634,81726,1111.7,4823016.96,11640.92,2.773076923
11372,Niger seed,2009,Kharif     ,West Bengal,3658,2402,1317.2,569989.56,621.86,0.527142857
10479,Groundnut,2007,Kharif     ,Uttarakhand,1546,1318,1924.3,206236.4,247.36,0.792
10951,Wheat,2008,Rabi       ,Jammu and Kashmir,274022,492140,1390.1,39196106.88,24661.98,1.435714286
18089,Sweet potato,2013,Kharif     ,Puducherry,1,9,1083.2,144.49,0.27,9
4299,Black pepper,2014,Whole Year ,Kerala,85431,40690,3046.4,12896663.76,28192.23,0.382857143
11223,Gram,2009,Rabi       ,Punjab,3000,3400,371.3,467460,510,1.155555556
15884,Arhar/Tur,2017,Kharif     ,Uttar Pradesh,282271,331672,652.1,44440746.24,107262.98,1.084507042
6771,Groundnut,1999,Kharif     ,Karnataka,934448,560326,1203.8,99172966.24,252300.96,0.647916667
5898,Small millets,2019,Kharif     ,Assam,5212,3226,2084.7,895213.12,1928.44,0.5792
13014,Niger seed,2012,Kharif     ,West Bengal,3272,2259,1566,493417.6,1014.32,0.56
10089,Ragi,2007,Rabi       ,Andhra Pradesh,7000,8000,1004.2,933800,1120,1.1
2568,Wheat,2008,Rabi       ,Andhra Pradesh,13687,15421,944.6,1957788.48,1231.83,1.026666667
19067,Turmeric,2002,Whole Year ,Arunachal Pradesh,514,2020,2832.8,48660.38,128.5,4.459090909
7842,Urad,2001,Kharif     ,Uttar Pradesh,362868,148046,849.9,37059708.84,94345.68,0.418985507
6609,Sugarcane,1998,Whole Year ,Tripura,1080,51300,2472.9,106704,313.2,48.21
15154,Castor seed,2016,Kharif     ,Telangana,44442,26207,942.6,6810736.5,15554.7,0.538333333
7416,Rice,2000,Summer     ,Uttar Pradesh,3023,6899,874.4,296767.91,785.98,2.083181818
5510,Ragi,2018,Summer     ,Puducherry,14,35,1693.9,2270.8,4.9,2.5
12445,Urad,2011,Kharif     ,Uttarakhand,11013,8941,1564.7,1844897.76,3634.29,0.696153846
17224,Sugarcane,2019,Kharif     ,Uttar Pradesh,2208347,179567765,814.5,379305680.7,817088.39,70.96973333
9338,Peas & beans (Pulses),2005,Rabi       ,Chhattisgarh,17158,6034,1292.7,2057587.36,3603.18,0.329333333
19341,Potato,2008,Winter     ,Odisha,7315,75577,1539,1046337.6,658.35,9.706896552
13115,Sannhamp,2013,Kharif     ,Chhattisgarh,1469,448,1418.3,212255.81,396.63,0.312272727
6140,Gram,1997,Rabi       ,Andhra Pradesh,146600,58400,927.5,13951922,45446,0.338
13031,Small millets,2012,Rabi       ,West Bengal,525,713,1566,79170,162.75,0.96
7709,Masoor,2001,Rabi       ,Mizoram,45,57,2406.4,4595.85,11.7,1.023333333
18342,Small millets,2018,Rabi       ,Jammu and Kashmir,30,22,1016.3,4866,10.5,0.75
4439,Mesta,2015,Kharif     ,Andhra Pradesh,5355,44366,940.7,845608.05,1767.15,8.23
35,Dry chillies,1997,Rabi       ,Karnataka,4565,7895,1266.7,434451.05,1415.15,1.869444444
4216,Banana,2014,Whole Year ,Goa,2380,26882,3491.2,359284.8,785.4,11.29
1631,Wheat,2004,Rabi       ,Meghalaya,863,1564,4767.9,93497.42,181.23,1.156666667
10507,Wheat,2007,Rabi       ,Uttarakhand,372919,798233,1924.3,49747394.6,59667.04,1.673846154
9590,Groundnut,2005,Kharif     ,Tripura,616,665,1765.9,73870.72,129.36,1.1475
59,Cashewnut,1997,Whole Year ,Kerala,96073,74142,3252.4,9143267.41,29782.63,0.589285714
4920,Sweet potato,2016,Whole Year ,Goa,52,164,3266.9,7969,18.2,3.2
14714,Cotton(lint),2015,Kharif     ,West Bengal,451,1326,1717,71217.41,148.83,2.94
11562,Bajra,2010,Kharif     ,Haryana,659592,1183000,639.2,109564827.1,158302.08,1.715238095
14452,Rice,2015,Kharif     ,Manipur,237000,508140,1329.1,37424670,78210,1.876666667
13040,Bajra,2013,Kharif     ,Bihar,2638,3001,1069.9,381164.62,712.26,1.136666667
10205,Moong(Green Gram),2007,Kharif     ,Gujarat,209400,114400,1021.6,27933960,33504,0.56125
10690,Peas & beans (Pulses),2008,Rabi       ,Himachal Pradesh,8395,11461,1357.1,1200820.8,755.55,1.122727273
4320,Sugarcane,2014,Whole Year ,Kerala,1517.06,148530,3046.4,229015.3776,500.6298,45.05384615
325,Soyabean,1998,Kharif     ,West Bengal,800,461,2152.5,79040,232,0.481666667
4328,Arhar/Tur,2014,Kharif     ,Meghalaya,1148,1465,3484.4,173302.08,378.84,1.1
19650,Urad,2017,Winter     ,Odisha,42760,15322,1344.4,6732134.4,16248.8,0.382413793
8518,Wheat,2003,Rabi       ,Haryana,2315496,9114000,592.3,229187794.1,555719.04,3.825789474
16893,Gram,2019,Rabi       ,Madhya Pradesh,1925684,3062879,1446.7,330755483.8,712503.08,1.626923077
12670,Dry chillies,2012,Kharif     ,Himachal Pradesh,630,205,1035,95004,195.3,0.322
7374,Groundnut,2000,Kharif     ,Tamil Nadu,825063,1456648,971.1,80996434.71,214516.38,1.723571429
11115,Moong(Green Gram),2009,Kharif     ,Himachal Pradesh,225,104,969.9,35059.5,38.25,0.367142857
11113,Maize,2009,Kharif     ,Himachal Pradesh,290199,530224,969.9,45218808.18,49333.83,2.08
8623,Soyabean,2003,Kharif     ,Manipur,320,290,687.7,31673.6,76.8,0.875
6714,Urad,1999,Kharif     ,Gujarat,109300,38400,458.9,11600009,29511,0.32625
6581,Rice,1998,Kharif     ,Tamil Nadu,2386399,8215286,1077.1,235776221.2,692055.71,3.445
13138,Groundnut,2013,Kharif     ,Gujarat,1748599,5278326,1006.5,252655069.5,472121.73,2.709615385
2326,Groundnut,2007,Rabi       ,Karnataka,171231,152785,1323.3,22842215.4,27396.96,0.964285714
1303,Urad,2003,Rabi       ,Assam,39588,20696,2213.7,3918420.24,9501.12,0.519130435
7980,Groundnut,2002,Summer     ,Gujarat,56800,93100,458.4,5377256,14200,1.547222222
7621,Other  Rabi pulses,2001,Rabi       ,Himachal Pradesh,20,12,918.1,2042.6,5.2,0.565
11271,Linseed,2009,Rabi       ,Uttar Pradesh,34339,15133,585.8,5350702.98,5837.63,0.401891892
12453,Onion,2011,Rabi       ,Jharkhand,3184,20676,1374.7,533383.68,1050.72,6.4995
13561,Potato,2013,Rabi       ,Jharkhand,17421,102216,1253.6,2517160.29,4703.67,6.32375
18896,Cotton(lint),1999,Kharif     ,Mizoram,552,1964,2535.9,58583.76,149.04,3.726666667
10617,Dry chillies,2008,Whole Year ,Gujarat,7400,6700,746.1,1058496,666,0.96
18867,Black pepper,2006,Whole Year ,Goa,648,169,2928.8,82756.08,142.56,0.26
13863,Ginger,2014,Kharif     ,Manipur,3026,36613,987.5,456804.96,998.58,12.24888889
17422,Sugarcane,1999,Whole Year ,Delhi,4,200,365.9,424.52,1.08,50
19245,Groundnut,2005,Autumn     ,Odisha,34909,28983,1503.4,4186287.28,7330.89,0.706
3595,Sesamum,2011,Whole Year ,Tamil Nadu,43175,26447,926.5,7232676,14247.75,0.577931034
9301,Safflower,2005,Rabi       ,Bihar,173,138,907.8,20746.16,36.33,0.8375
13359,Jute,2013,Kharif     ,Nagaland,3030,5770,1350.9,437804.7,818.1,1.902
10292,Horse-gram,2007,Rabi       ,Madhya Pradesh,165,46,740.4,22011,26.4,0.186666667
9874,Arhar/Tur,2006,Kharif     ,Maharashtra,1122600,814600,1439.4,143367246,246972,0.663125
11290,Sunflower,2009,Summer     ,Uttar Pradesh,7093,15597,585.8,1105231.26,1205.81,2.1215
3936,Rice,2013,Kharif     ,Goa,28330,80114,3642.6,4093401.7,7649.1,2.82
6485,Soyabean,1998,Kharif     ,Himachal Pradesh,585,1153,1381.6,57798,169.65,2.537142857
6287,Arhar/Tur,1997,Kharif     ,Punjab,11000,8200,690.1,1046870,3410,0.766153846
2155,Tapioca,2006,Whole Year ,Kerala,87128,2518999,3429.7,11127116.88,19168.16,29.46214286
16287,Bajra,2018,Kharif     ,Maharashtra,609587.4,332231,1387.4,98875076.28,213355.59,0.408
10449,Maize,2007,Summer     ,Uttar Pradesh,21930,31514,672.9,2925462,3508.8,1.430714286
9457,Castor seed,2005,Kharif     ,Madhya Pradesh,1499,462,1032.7,179760.08,314.79,0.241904762
11892,Urad,2010,Rabi       ,Uttarakhand,176,100,1419,29235.36,42.24,0.546666667
9259,Small millets,2004,Rabi       ,West Bengal,750,1034,1612.9,81255,157.5,1.245
16680,Maize,2019,Autumn     ,Bihar,209307,434878,1194.7,35950570.32,77443.59,2.31625
16052,Onion,2018,Rabi       ,Bihar,13014,170865,1521.4,2110870.8,4554.9,11.76916667
18997,Tapioca,2008,Kharif     ,Mizoram,65,286,1912.1,9297.6,5.85,2.646666667
8412,Cotton(lint),2003,Kharif     ,Chhattisgarh,92,182,1643.7,9106.16,22.08,1.832
16331,Maize,2018,Rabi       ,Manipur,7220,17140,1196.9,1171084,2527,2.371111111
13228,Urad,2013,Kharif     ,Himachal Pradesh,7686,3339,1216.9,1110550.14,2075.22,0.54
8875,Sugarcane,2004,Whole Year ,Assam,23942,883925,2536.9,2593876.28,5027.82,37.40956522
14903,Sugarcane,2016,Whole Year ,Gujarat,157987,10786971,710.5,24211507.75,55295.45,64.44533333
7285,Maize,2000,Kharif     ,Nagaland,35000,52500,1631.8,3435950,9100,1.5125
16097,Onion,2018,Whole Year ,Chhattisgarh,4619,25561,1515.5,749201.8,1616.65,5.641818182
425,Dry chillies,1999,Whole Year ,Puducherry,11,35,1434.5875,1167.43,2.97,3.305
1714,Tobacco,2005,Whole Year ,Andhra Pradesh,204328,716614,1075.5,24503013.76,42908.88,4.374418605
14812,Rice,2016,Summer     ,Bihar,84323,224329,1205.6,12922499.75,29513.05,2.493333333
2781,Potato,2008,Whole Year ,West Bengal,385981,4121189,1560.1,55210722.24,34738.29,13.99944444
2585,Niger seed,2008,Kharif     ,Assam,7493,3821,2109.9,1071798.72,674.37,0.509565217
16846,Peas & beans (Pulses),2019,Rabi       ,Himachal Pradesh,2565,5167,1217.7,440564.4,949.05,2.062727273
11559,Wheat,2010,Rabi       ,Gujarat,1588600,5013400,1107.5,263882346,381264,3.0388
9410,Moth,2005,Kharif     ,Haryana,3147,500,516.9,377388.24,660.87,0.092
7559,Jowar,2001,Kharif     ,Gujarat,138300,134300,666.5,14124579,35958,0.888666667
18429,Peas & beans (Pulses),1998,Summer     ,Manipur,710,360,1855,70148,205.9,0.5475
3640,Ragi,2012,Kharif     ,Andhra Pradesh,36000,38000,968.7,5428800,11160,1.207142857
4224,Ragi,2014,Kharif     ,Goa,15.5,11,3491.2,2339.88,5.115,0.725
